국가,방한 외래관광객,전년동기 관광객,전년대비 증감률,구성비,순위
총계,1619386.0,1417424.0,14.2,0.0,0
중국,477052.0,397325.0,20.1,29.5,1
일본,287140.0,258431.0,11.1,17.8,2
미국,166242.0,151721.0,9.6,10.3,3
대만,164885.0,144255.0,14.3,10.2,4
홍콩,56109.0,54449.0,3.0,3.5,5
필리핀,53128.0,44891.0,18.3,3.3,6
베트남,45408.0,47323.0,-4.0,2.8,7
싱가포르,40211.0,34134.0,17.8,2.5,8
인도네시아,32029.0,29137.0,9.9,2.0,9
캐나다,22065.0,20378.0,8.3,1.4,10
태국,21179.0,20150.0,5.1,1.3,11
말레이시아,19945.0,16138.0,23.6,1.2,12
인도,19905.0,17693.0,12.5,1.2,13
호주,19360.0,19348.0,0.1,1.2,14
러시아,19040.0,15753.0,20.9,1.2,15
몽골,16955.0,12578.0,34.8,1.0,16
영국,13937.0,11417.0,22.1,0.9,17
프랑스,12208.0,10989.0,11.1,0.8,18
독일,11925.0,10066.0,18.5,0.7,19
미얀마,7591.0,6269.0,21.1,0.5,20
멕시코,6303.0,2549.0,147.3,0.4,21
이탈리아,6041.0,4980.0,21.3,0.4,22
카자흐스탄,5636.0,4338.0,29.9,0.3,23
튀르키예,5347.0,4716.0,13.4,0.3,24
네덜란드,5025.0,3664.0,37.1,0.3,25
스페인,4433.0,3359.0,32.0,0.3,26
우즈베키스탄,4413.0,3929.0,12.3,0.3,27
네팔,4105.0,2680.0,53.2,0.3,28
폴란드,4070.0,3403.0,19.6,0.3,29
뉴질랜드,3302.0,3164.0,4.4,0.2,30
캄보디아,3256.0,2791.0,16.7,0.2,31
브라질,3182.0,2441.0,30.4,0.2,32
마카오,3148.0,3186.0,-1.2,0.2,33
스리랑카,2578.0,1977.0,30.4,0.2,34
사우디아라비아,2512.0,3806.0,-34.0,0.2,35
스웨덴,2416.0,2312.0,4.5,0.1,36
스위스,2219.0,1797.0,23.5,0.1,37
교포,2132.0,2793.0,-23.7,0.1,38
우크라이나,1967.0,1874.0,5.0,0.1,39
방글라데시,1806.0,1420.0,27.2,0.1,40
핀란드,1568.0,1322.0,18.6,0.1,41
남아프리카공화국,1540.0,1261.0,22.1,0.1,42
콜롬비아,1534.0,897.0,71.0,0.1,43
라오스,1507.0,1019.0,47.9,0.1,44
루마니아,1431.0,1177.0,21.6,0.1,45
노르웨이,1382.0,1264.0,9.3,0.1,46
벨기에,1371.0,1373.0,-0.1,0.1,47
포르투갈,1371.0,1068.0,28.4,0.1,47
이스라엘,1315.0,918.0,43.2,0.1,49
아일랜드,1300.0,1065.0,22.1,0.1,50
