국가,방한 외래관광객,전년동기 관광객,전년대비 증감률,구성비,순위
총계,1733367.0,1408638.0,23.1,0.0,0
중국,602147.0,459069.0,31.2,34.8,1
일본,299782.0,242953.0,23.4,17.3,2
대만,199280.0,142721.0,39.6,11.5,3
미국,131832.0,120874.0,9.1,7.6,4
홍콩,64224.0,58305.0,10.2,3.7,5
베트남,47692.0,45282.0,5.3,2.8,6
필리핀,41692.0,34632.0,20.4,2.4,7
인도네시아,28651.0,22818.0,25.6,1.7,8
캐나다,24316.0,23899.0,1.7,1.4,9
태국,20856.0,18056.0,15.5,1.2,10
러시아,20446.0,20899.0,-2.2,1.2,11
프랑스,16896.0,13994.0,20.7,1.0,12
호주,16861.0,16198.0,4.1,1.0,13
인도,16605.0,14336.0,15.8,1.0,14
싱가포르,16008.0,14068.0,13.8,0.9,15
몽골,14456.0,12415.0,16.4,0.8,16
말레이시아,13840.0,12275.0,12.7,0.8,17
영국,13020.0,11169.0,16.6,0.8,18
독일,11340.0,10617.0,6.8,0.7,19
멕시코,8430.0,3901.0,116.1,0.5,20
미얀마,7049.0,6168.0,14.3,0.4,21
네덜란드,6924.0,5600.0,23.6,0.4,22
카자흐스탄,6269.0,5134.0,22.1,0.4,23
튀르키예,5982.0,4248.0,40.8,0.3,24
스페인,5893.0,4222.0,39.6,0.3,25
우즈베키스탄,5741.0,4936.0,16.3,0.3,26
이탈리아,5707.0,4626.0,23.4,0.3,27
마카오,4997.0,5750.0,-13.1,0.3,28
폴란드,4617.0,3505.0,31.7,0.3,29
네팔,3541.0,2991.0,18.4,0.2,30
브라질,3442.0,2696.0,27.7,0.2,31
스위스,3051.0,2717.0,12.3,0.2,32
뉴질랜드,3025.0,2681.0,12.8,0.2,33
캄보디아,3012.0,3735.0,-19.4,0.2,34
사우디아라비아,2598.0,3332.0,-22.0,0.2,35
벨기에,2241.0,1973.0,13.6,0.1,36
스리랑카,2215.0,2375.0,-6.7,0.1,37
우크라이나,2126.0,1705.0,24.7,0.1,38
교포,1929.0,2551.0,-24.4,0.1,39
덴마크,1926.0,1670.0,15.3,0.1,40
스웨덴,1908.0,1844.0,3.5,0.1,41
방글라데시,1902.0,2174.0,-12.5,0.1,42
노르웨이,1769.0,1608.0,10.0,0.1,43
남아프리카공화국,1732.0,1304.0,32.8,0.1,44
이스라엘,1692.0,1129.0,49.9,0.1,45
오스트리아,1618.0,1514.0,6.9,0.1,46
라오스,1501.0,1360.0,10.4,0.1,47
포르투갈,1403.0,991.0,41.6,0.1,48
루마니아,1392.0,1145.0,21.6,0.1,49
콜롬비아,1347.0,942.0,43.0,0.1,50
파키스탄,1256.0,1472.0,-14.7,0.1,51
체코,1206.0,949.0,27.1,0.1,52
아일랜드,1141.0,965.0,18.2,0.1,53
핀란드,1066.0,992.0,7.5,0.1,54
아랍에미리트,982.0,1079.0,-9.0,0.1,55
키르기스스탄,972.0,872.0,11.5,0.1,56
그리스,929.0,869.0,6.9,0.1,57
에티오피아,884.0,858.0,3.0,0.1,58
헝가리,812.0,674.0,20.5,0.0,59
크로아티아,673.0,455.0,47.9,0.0,60
아르헨티나,664.0,552.0,20.3,0.0,61
케냐,615.0,393.0,56.5,0.0,62
타지키스탄,608.0,488.0,24.6,0.0,63
이집트,588.0,476.0,23.5,0.0,64
페루,534.0,466.0,14.6,0.0,65
칠레,525.0,450.0,16.7,0.0,66
불가리아,517.0,415.0,24.6,0.0,67
슬로바키아,481.0,424.0,13.4,0.0,68
모로코,478.0,344.0,39.0,0.0,69
브루나이,437.0,352.0,24.1,0.0,70
리투아니아,433.0,313.0,38.3,0.0,71
짐바브웨,376.0,197.0,90.9,0.0,72
쿠웨이트,352.0,395.0,-10.9,0.0,73
튀니지,331.0,229.0,44.5,0.0,74
카타르,287.0,275.0,4.4,0.0,75
투르크메니스탄,274.0,89.0,207.9,0.0,76
라트비아,269.0,175.0,53.7,0.0,77
탄자니아,264.0,148.0,78.4,0.0,78
이라크,256.0,248.0,3.2,0.0,79
마다가스카르,254.0,84.0,202.4,0.0,80
에콰도르,252.0,302.0,-16.6,0.0,81
가나,248.0,279.0,-11.1,0.0,82
이란,246.0,320.0,-23.1,0.0,83
슬로베니아,242.0,175.0,38.3,0.0,84
몬테네그로,234.0,143.0,63.6,0.0,85
세르비아,225.0,247.0,-8.9,0.0,86
동티모로,211.0,176.0,19.9,0.0,87
시리아,206.0,169.0,21.9,0.0,88
벨라루스,205.0,135.0,51.9,0.0,89
요르단,201.0,254.0,-20.9,0.0,90
베네수엘라,199.0,154.0,29.2,0.0,91
오만,195.0,239.0,-18.4,0.0,92
알제리,188.0,147.0,27.9,0.0,93
코스타리카,179.0,125.0,43.2,0.0,94
조지아,168.0,139.0,20.9,0.0,95
그루지아,168.0,139.0,20.9,0.0,95
룩셈부르크,165.0,156.0,5.8,0.0,97
나이지리아,161.0,136.0,18.4,0.0,98
리비아,158.0,190.0,-16.8,0.0,99
에스토니아,148.0,125.0,18.4,0.0,100
모리셔스,145.0,101.0,43.6,0.0,101
아제르바이잔,137.0,308.0,-55.5,0.0,102
도미니카 공화국,136.0,104.0,30.8,0.0,103
파나마,136.0,149.0,-8.7,0.0,103
파라과이,125.0,91.0,37.4,0.0,105
우간다,122.0,87.0,40.2,0.0,106
온두라스,118.0,128.0,-7.8,0.0,107
키프로스,109.0,81.0,34.6,0.0,108
바레인,105.0,64.0,64.1,0.0,109
레바논,103.0,93.0,10.8,0.0,110
엘살바도르,102.0,113.0,-9.7,0.0,111
피지,101.0,123.0,-17.9,0.0,112
과테말라,99.0,140.0,-29.3,0.0,113
르완다,94.0,52.0,80.8,0.0,114
예멘,93.0,99.0,-6.1,0.0,115
아이슬란드,92.0,59.0,55.9,0.0,116
자메이카,89.0,137.0,-35.0,0.0,117
세인트 킷츠 네비스,89.0,72.0,23.6,0.0,117
트리니다드ㆍ토바고,82.0,43.0,90.7,0.0,119
콩고민주공화국,78.0,36.0,116.7,0.0,120
코트디부아르,77.0,81.0,-4.9,0.0,121
도미니카연방,73.0,52.0,40.4,0.0,122
니카라과,64.0,56.0,14.3,0.0,123
몰도바,63.0,37.0,70.3,0.0,124
바누아투,62.0,101.0,-38.6,0.0,125
아시아 기타,62.0,90.0,-31.1,0.0,125
몰타,60.0,91.0,-34.1,0.0,127
세네갈,59.0,37.0,59.5,0.0,128
서사모아,58.0,14.0,314.3,0.0,129
카메룬,54.0,63.0,-14.3,0.0,130
우르과이,48.0,254.0,-81.1,0.0,131
알바니아,47.0,61.0,-23.0,0.0,132
수단,43.0,46.0,-6.5,0.0,133
유고슬라비아,41.0,29.0,41.4,0.0,134
볼리비아,38.0,22.0,72.7,0.0,135
감비아,36.0,14.0,157.1,0.0,136
그레나다,34.0,41.0,-17.1,0.0,137
잠비아,34.0,20.0,70.0,0.0,137
미크로네시아,32.0,32.0,0.0,0.0,139
파푸아뉴기니,32.0,44.0,-27.3,0.0,139
솔로몬군도,31.0,37.0,-16.2,0.0,141
모잠비크,31.0,21.0,47.6,0.0,141
부탄,29.0,28.0,3.6,0.0,143
팔레스타인,28.0,27.0,3.7,0.0,144
아르메니아,28.0,22.0,27.3,0.0,144
아프가니스탄,25.0,28.0,-10.7,0.0,146
아이티,24.0,7.0,242.9,0.0,147
보츠와나,24.0,17.0,41.2,0.0,147
부룬디,23.0,17.0,35.3,0.0,149
마샬군도,22.0,10.0,120.0,0.0,150
나미비아,22.0,12.0,83.3,0.0,150
보스니아ㆍ헤르체고비나,22.0,8.0,175.0,0.0,150
몰디브,20.0,73.0,-72.6,0.0,153
세인트 루치아,20.0,24.0,-16.7,0.0,153
베냉,20.0,28.0,-28.6,0.0,153
국적미상,19.0,13.0,46.2,0.0,156
쿠바,18.0,6.0,200.0,0.0,157
팔라우,18.0,13.0,38.5,0.0,157
기니,18.0,26.0,-30.8,0.0,157
라이베리아,18.0,24.0,-25.0,0.0,157
부르키나 파소,18.0,10.0,80.0,0.0,157
바하마,17.0,17.0,0.0,0.0,162
가봉,17.0,25.0,-32.0,0.0,162
말라위,16.0,13.0,23.1,0.0,164
가이아나,15.0,16.0,-6.2,0.0,165
마케도니아,15.0,11.0,36.4,0.0,165
앤티가 바부다,14.0,22.0,-36.4,0.0,167
리히텐슈타인,14.0,5.0,180.0,0.0,167
말리,13.0,20.0,-35.0,0.0,169
콩고,12.0,7.0,71.4,0.0,170
레소토,12.0,5.0,140.0,0.0,170
토고,12.0,23.0,-47.8,0.0,170
남수단공화국,11.0,3.0,266.7,0.0,173
안도라,10.0,8.0,25.0,0.0,174
키리바시,10.0,17.0,-41.2,0.0,174
앙골라,10.0,19.0,-47.4,0.0,174
바베이도스,9.0,13.0,-30.8,0.0,177
모나코,9.0,9.0,0.0,0.0,177
에스와티니,9.0,16.0,-43.8,0.0,177
영국교포,9.0,4.0,125.0,0.0,177
벨리즈,8.0,10.0,-20.0,0.0,181
세인트 빈센트 그레나딘,8.0,11.0,-27.3,0.0,181
산마리노,8.0,1.0,700.0,0.0,181
통가,8.0,14.0,-42.9,0.0,181
수리남,7.0,11.0,-36.4,0.0,185
중앙아프리카공화국,7.0,6.0,16.7,0.0,185
세이셸,7.0,10.0,-30.0,0.0,185
시에라리온,7.0,6.0,16.7,0.0,185
모리타니,6.0,4.0,50.0,0.0,189
